matched_string,repository,file_path,line_number,line_content
oeis.org/A000045,github.com/0e85dc6eaf/CTF-Writeups,PicoCTF 2018/Reversing/be-quick-or-be-dead/README.md,18,[The first 2000 Fibonacci numbers](https://oeis.org/A000045/b000045.txt)
oeis.org/A001113,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,57,"constexpr double e          = 2.7182818284590452354, // (0x1.5bf0a8b145749P+1) https://oeis.org/A001113"
oeis.org/A001620,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,58,"egamma     = .57721566490153286061, // (0x1.2788cfc6fb619P-1) https://oeis.org/A001620"
oeis.org/A002162,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,59,"ln2        = .69314718055994530942, // (0x1.62e42fefa39efP-1) https://oeis.org/A002162"
oeis.org/A002392,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,60,"ln10       = 2.3025850929940456840, // (0x1.24bb1bbb55516P+1) https://oeis.org/A002392"
oeis.org/A000796,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,63,"pi         = 3.1415926535897932385, // (0x1.921fb54442d18P+1) https://oeis.org/A000796"
oeis.org/A049541,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,64,"inv_pi     = .31830988618379067154, // (0x1.45f306bc9c883P-2) https://oeis.org/A049541"
oeis.org/A002161,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,65,"sqrtpi     = 1.7724538509055160273, // (0x1.c5bf891b4ef6bP+0) https://oeis.org/A002161"
oeis.org/A087197,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,66,"inv_sqrtpi = .56418958354775628695, // (0x1.20dd750429b6dP-1) https://oeis.org/A087197"
oeis.org/A00219,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,67,"sqrt2      = 1.4142135623730950488, // (0x1.6a09e667f3bcdP+0) https://oeis.org/A00219"
oeis.org/A002194,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,69,"sqrt3      = 1.7320508075688772935, // (0x1.bb67ae8584caaP+0) https://oeis.org/A002194"
oeis.org/A001622,github.com/0x3f97/ollvm-12.x,llvm/include/llvm/Support/MathExtras.h,71,phi        = 1.6180339887498948482; // (0x1.9e3779b97f4a8P+0) https://oeis.org/A001622
